City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Camacha,PT,2022-04-24 14:51:57,33.0833,-16.3333,65.62,60,40,16.11
261,Buzmeyin,TM,2022-04-24 14:51:57,38.0507,58.2056,78.53,38,5,4.61
262,San Luis,AR,2022-04-24 14:51:58,-33.295,-66.3356,76.84,40,7,17.36
263,Saldanha,ZA,2022-04-24 14:51:58,-33.0117,17.9442,66.25,75,0,14.76
264,Meulaboh,ID,2022-04-24 14:50:33,4.1363,96.1285,79.84,85,97,1.28
265,Saint-Pierre,RE,2022-04-24 14:51:59,-21.3393,55.4781,76.68,67,100,17.27
266,Budogoshch,RU,2022-04-24 14:51:59,59.2816,32.4707,47.14,88,100,11.18
267,Kavaratti,IN,2022-04-24 14:51:59,10.5669,72.642,85.1,70,87,4.23
268,Lagoa,PT,2022-04-24 14:52:00,39.05,-27.9833,57.6,73,4,20.6
269,Diebougou,BF,2022-04-24 14:52:00,10.9667,-3.25,106.52,8,77,6.15
270,Humaita,BR,2022-04-24 14:52:00,-7.5061,-63.0208,88.16,61,100,4.07
271,Dong Hoi,VN,2022-04-24 14:52:01,17.4833,106.6,79.38,84,7,6.91
272,Zyryanskoye,RU,2022-04-24 14:52:01,56.8306,86.6258,29.08,87,89,6.51
273,Graaff-Reinet,ZA,2022-04-24 14:52:01,-32.2522,24.5308,56.91,82,36,12.64
274,Rio Novo Do Sul,BR,2022-04-24 14:52:02,-20.8625,-40.9364,86.34,52,1,6.73
275,Sao Miguel Do Araguaia,BR,2022-04-24 14:53:02,-13.275,-50.1628,86.79,57,76,4.61
276,Atikokan,CA,2022-04-24 14:53:02,48.7555,-91.6216,45.12,80,98,11.41
277,Kailua,US,2022-04-24 14:53:03,21.4022,-157.7394,74.64,82,59,5.99
278,Vagur,FO,2022-04-24 14:53:03,61.4732,-6.8119,43.21,81,100,22.44
279,Bethel,US,2022-04-24 14:50:54,41.3712,-73.414,63.03,41,0,8.05
280,Marawi,PH,2022-04-24 14:53:04,7.9986,124.2928,70.18,93,94,2.13
281,Flinders,AU,2022-04-24 14:50:24,-34.5833,150.8552,61.88,89,99,4.0
282,Ampanihy,MG,2022-04-24 14:53:04,-24.7,44.75,78.62,63,100,2.8
283,Gongzhuling,CN,2022-04-24 14:53:04,43.5008,124.8198,54.54,33,61,6.26
284,Kentau,KZ,2022-04-24 14:53:05,43.5206,68.5094,62.11,51,65,19.06
285,Mahebourg,MU,2022-04-24 14:53:05,-20.4081,57.7,76.24,78,75,18.41
286,Aromashevo,RU,2022-04-24 14:53:06,56.8602,68.6375,43.45,52,100,6.85
287,Fortuna,US,2022-04-24 14:53:06,40.5982,-124.1573,49.66,91,100,0.0
288,Banjar,ID,2022-04-24 14:53:06,-8.19,114.9675,78.71,90,36,2.91
289,Atagay,RU,2022-04-24 14:53:07,55.1033,99.3875,21.51,76,73,5.37
290,Hsinchu,TW,2022-04-24 14:53:07,24.8036,120.9686,79.86,90,7,1.01
